place_id,name,address,cuisine,parent_friendly_level,google_maps_url,phone,website_url,reservation_url
ChIJf6FaKTirQjQRVWaZiD55weI,Oguri Coffee 小栗原珈琲 · 咖啡,110台灣臺北市信義區永春里松山路221號,咖啡廳,高,https://www.google.com/maps/search/?api=1&query=Oguri%20Coffee%20%E5%B0%8F%E6%A0%97%E5%8E%9F%E7%8F%88%E7%90%B2%20%C2%B7%20%E5%92%96%E5%95%A1&query_place_id=ChIJf6FaKTirQjQRVWaZiD55weI,,,
ChIJ1WJhMgCrQjQRTpOKfFXLTVk,皿皿家料理,116台灣臺北市文山區景華里羅斯福路六段,複合式餐廳,中,https://www.google.com/maps/search/?api=1&query=%E7%9A%BF%E7%9A%BF%E5%AE%B6%E6%96%99%E7%90%86&query_place_id=ChIJ1WJhMgCrQjQRTpOKfFXLTVk,,,
ChIJxaIcSp6rQjQRhc47ZASYmn0,松山機場2F美食廣場,105台灣臺北市松山區敦化北路340-9號第二航厦 (國內線航厦),美食廣場,中,https://www.google.com/maps/search/?api=1&query=%E6%9D%BE%E5%B1%B1%E6%A9%9F%E5%A0%B42F%E7%BE%8E%E9%A3%9F%E5%BB%A3%E5%A0%B4&query_place_id=ChIJxaIcSp6rQjQRhc47ZASYmn0,,,
ChIJ0032cACrQjQRSk029YpyUqw,義百代餐館南港店,11577台灣臺北市南港區西新里南港路三段9-2號,義大利料理,中,https://www.google.com/maps/search/?api=1&query=%E7%BE%A9%E7%99%BE%E4%BB%A3%E9%A4%90%E9%A4%A8%E5%8D%97%E6%B8%AF%E5%BA%97&query_place_id=ChIJ0032cACrQjQRSk029YpyUqw,,,
ChIJ_WZLPdGrQjQRAemg-ZR7K6I,福禱咖啡,106台灣臺北市大安區正聲里光復南路240巷51號,早午餐,中,https://www.google.com/maps/search/?api=1&query=%E7%A6%8F%E7%A6%B1%E5%92%96%E5%95%A1&query_place_id=ChIJ_WZLPdGrQjQRAemg-ZR7K6I,,,
ChIJ2YR8vX6uQjQRRcrfjdv8m2U,維尼恩早餐店,111台灣臺北市士林區天山里中山北路七段132號,早午餐,中,https://www.google.com/maps/search/?api=1&query=%E7%B6%AD%E5%B0%BC%E6%81%A9%E6%97%A9%E9%A4%90%E5%BA%97&query_place_id=ChIJ2YR8vX6uQjQRRcrfjdv8m2U,,,
ChIJMUqmM3OpQjQRTKkB0Ue1hHA,翡冷翠義式餐廳,100台灣臺北市中正區漢口街一段15號1樓,義大利料理,中,https://www.google.com/maps/search/?api=1&query=%E7%BF%A1%E5%86%B7%E7%BF%A0%E7%BE%A9%E5%BC%8F%E9%A4%90%E5%BB%B3&query_place_id=ChIJMUqmM3OpQjQRTKkB0Ue1hHA,,,
ChIJd_eNsgOrQjQRHFSYRBGxHCA,樂利早午餐,106台灣臺北市大安區法治里樂利路113號,早午餐,中,https://www.google.com/maps/search/?api=1&query=%E6%A8%82%E5%88%A9%E6%97%A9%E5%8D%88%E9%A4%90&query_place_id=ChIJd_eNsgOrQjQRHFSYRBGxHCA,,,
ChIJk0ASfQCtQjQR4hxS92gLUi0,樂玩義 Joyful Pasta,10491台灣臺北市中山區金泰里敬業三路20號B1,義大利料理,中,https://www.google.com/maps/search/?api=1&query=%E6%A8%82%E7%8E%A9%E7%BE%A9%20Joyful%20Pasta&query_place_id=ChIJk0ASfQCtQjQR4hxS92gLUi0,,,
ChIJkXcFRAipQjQR7w1TJiBW5Wg,盤子餐酒 PIATTO BISTRO 丨西門義大利麵丨葡萄酒丨牛排丨調酒丨,108台灣台北市万华区西门里昆明街164號一樓,義大利料理,中,https://www.google.com/maps/search/?api=1&query=%E7%9B%A4%E5%AD%90%E9%A4%90%E9%85%92%20PIATTO%20BISTRO%20%E4%B8%A8%E8%A5%BF%E9%96%80%E7%BE%A9%E5%A4%A7%E5%88%A9%E9%BA%B5%E4%B8%A8%E8%91%A1%E8%90%84%E9%85%92%E4%B8%A8%E7%89%9B%E6%8E%92%E4%B8%A8%E8%AA%BF%E9%85%92%E4%B8%A8&query_place_id=ChIJkXcFRAipQjQR7w1TJiBW5Wg,,,
ChIJG3lCC6mpQjQRjdUJV4xltuQ,醉華樓菜館,108台灣臺北市萬華區華西街127號,中式料理,中,https://www.google.com/maps/search/?api=1&query=%E9%86%89%E8%8F%AF%E6%A8%93%E8%8F%9C%E9%A4%A8&query_place_id=ChIJG3lCC6mpQjQRjdUJV4xltuQ,,,
ChIJE7xiPQCrQjQR6-EK_kiCVxs,樹下生活早午餐,110台灣臺北市信義區林口街66巷31號,早午餐,中,https://www.google.com/maps/search/?api=1&query=%E6%A8%B9%E4%B8%8B%E7%94%9F%E6%B4%BB%E6%97%A9%E5%8D%88%E9%A4%90&query_place_id=ChIJE7xiPQCrQjQR6-EK_kiCVxs,,,
ChIJ1-bm9XOrQjQR8JZL3xaOPAQ,興華早餐店,115台灣臺北市南港區東新里興華路114巷口號,早午餐,中,https://www.google.com/maps/search/?api=1&query=%E8%88%88%E8%8F%AF%E6%97%A9%E9%A4%90%E5%BA%97&query_place_id=ChIJ1-bm9XOrQjQR8JZL3xaOPAQ,,,
ChIJZ4DQRqKpQjQR9IJ4UG9nqus,蕃薯藤自然食堂-台北植物園店,100台灣臺北市中正區南門里南海路41號5樓,蔬食料理,中,https://www.google.com/maps/search/?api=1&query=%E8%95%83%E8%96%AF%E8%97%A4%E8%87%AA%E7%84%B6%E9%A3%9F%E5%A0%82-%E5%8F%B0%E5%8C%97%E6%A4%8D%E7%89%A9%E5%9C%92%E5%BA%97&query_place_id=ChIJZ4DQRqKpQjQR9IJ4UG9nqus,,,
ChIJy4Zxx_WpQjQRfU5kuDH_EaA,濤濤鮮魚舖,103台灣臺北市大同區錦西街82號1樓,日式料理,中,https://www.google.com/maps/search/?api=1&query=%E6%BF%A4%E6%BF%A4%E9%AE%AE%E9%AD%9A%E8%88%96&query_place_id=ChIJy4Zxx_WpQjQRfU5kuDH_EaA,,,
ChIJx1oTFV6pQjQRUtZAGCMtB1I,禪風茶樓,104台灣台北市中山区松江路182號2樓,蔬食料理,中,https://www.google.com/maps/search/?api=1&query=%E7%A6%AA%E9%A2%A8%E8%8C%B6%E6%A8%93&query_place_id=ChIJx1oTFV6pQjQRUtZAGCMtB1I,,,
ChIJr1ewTp6rQjQRyYXQcfR0Kxc,繆克咖啡 MK coffee x 空間設計,110台灣台北市信义区敦厚里永吉路30巷25號1樓,咖啡廳,中,https://www.google.com/maps/search/?api=1&query=%E7%B9%86%E5%85%8B%E5%92%96%E5%95%A1%20MK%20coffee%20x%20%E7%A9%BA%E9%96%93%E8%A8%AD%E8%A8%88&query_place_id=ChIJr1ewTp6rQjQRyYXQcfR0Kxc,,,
