Place ID,餐廳名稱,地址,Google 地圖網址,高腳椅屬性,佐證/說明,現有資料庫名稱,現有資料庫地址,目前兒童椅屬性,建議兒童椅屬性,目前兒童餐具屬性,目前兒童餐屬性,現有親子分級
ChIJ_1vCIlWvQjQRjo4z7gh-Gf8,PRESERVE天母東店,111台灣臺北市士林區天山里天母東路43巷3號,https://www.google.com/maps/search/?api=1&query=PRESERVE%E5%A4%A9%E6%AF%8D%E6%9D%B1%E5%BA%97&query_place_id=ChIJ_1vCIlWvQjQRjo4z7gh-Gf8,提供 (Yes),Google 地圖「簡介」頁面明確標記「兒童高腳椅」,PRESERVE天母東店,111台灣臺北市士林區天山里天母東路43巷3號,unknown,yes,unknown,no,高
ChIJ_3LZiLyvQjQR3SvEA0zV4Hk,大俠請留步,111台灣臺北市士林區文林路188號,https://www.google.com/maps/search/?api=1&query=%E5%A4%A7%E4%BF%A0%E8%AB%8B%E7%95%99%E6%AD%A5&query_place_id=ChIJ_3LZiLyvQjQR3SvEA0zV4Hk,提供 (Yes),Google 地圖「簡介」頁面明確標記「兒童高腳椅」,大俠請留步,111台灣臺北市士林區文林路188號,unknown,yes,unknown,unknown,資訊不足
ChIJ_6v6xhWpQjQRq8kQTzsl8Ks,鯉魚 The Carp,10347台灣臺北市大同區迪化街一段177號,https://www.google.com/maps/search/?api=1&query=%E9%AF%89%E9%AD%9A%20The%20Carp&query_place_id=ChIJ_6v6xhWpQjQRq8kQTzsl8Ks,提供 (Yes),Google 地圖「簡介」頁面明確標記「兒童高腳椅」,鯉魚 The Carp,10347台灣臺北市大同區迪化街一段177號,unknown,yes,unknown,unknown,資訊不足
ChIJ_8WLFWipQjQRc0d1b_tGhI4,澳氏咖啡 Aussie Cafe,104台灣臺北市中山區聚葉里中山北路二段115巷33號,https://www.google.com/maps/search/?api=1&query=%E6%BE%B3%E6%B0%8F%E5%92%96%E5%95%A1%20Aussie%20Cafe&query_place_id=ChIJ_8WLFWipQjQRc0d1b_tGhI4,提供 (Yes),Google 地圖「簡介」頁面明確標記「兒童高腳椅」,澳氏咖啡 Aussie Cafe,104台灣臺北市中山區聚葉里中山北路二段115巷33號,unknown,yes,unknown,unknown,高
ChIJ_QSp5uWpQjQRRuAnY7GgxAY,長春?華海鮮餐廳,10491台灣臺北市中山區康樂里長春路26號,https://www.google.com/maps/search/?api=1&query=%E9%95%B7%E6%98%A5%E4%BA%B0%E8%8F%AF%E6%B5%B7%E9%AE%AE%E9%A4%90%E5%BB%B3&query_place_id=ChIJ_QSp5uWpQjQRRuAnY7GgxAY,提供 (Yes),Google 地圖「簡介」頁面明確標記「兒童高腳椅」,長春?華海鮮餐廳,10491台灣臺北市中山區康樂里長春路26號,unknown,yes,unknown,no,高
ChIJ_QYiGnupQjQRC8BOTkFJuHs,Alleycat's Pizza,100台灣臺北市中正區梅花里八德路一段1號華山文創園區 中3A-2,https://www.google.com/maps/search/?api=1&query=Alleycat's%20Pizza&query_place_id=ChIJ_QYiGnupQjQRC8BOTkFJuHs,提供 (Yes),Google 地圖「簡介」頁面明確標記「兒童高腳椅」,Alleycat's Pizza,100台灣臺北市中正區梅花里八德路一段1號華山文創園區 中3A-2,unknown,yes,unknown,unknown,高
ChIJ_RA6XQGqQjQRRwNNst0r6F4,Tenshima 天島咖啡,116台灣臺北市文山區景華里羅斯福路六段311號,https://www.google.com/maps/search/?api=1&query=Tenshima%20%E5%A4%A9%E5%B3%B6%E5%92%96%E5%95%A1&query_place_id=ChIJ_RA6XQGqQjQRRwNNst0r6F4,提供 (Yes),Google 地圖「簡介」頁面明確標記「兒童高腳椅」,Tenshima 天島咖啡,116台灣臺北市文山區景華里羅斯福路六段311號,unknown,yes,unknown,unknown,高
ChIJ_RJ5-aypQjQR8C2beKXJ7fw,Pizza Rock 古亭店,106台灣臺北市大安區古莊里羅斯福路三段25號,https://www.google.com/maps/search/?api=1&query=Pizza%20Rock%20%E5%8F%A4%E4%BA%AD%E5%BA%97&query_place_id=ChIJ_RJ5-aypQjQR8C2beKXJ7fw,提供 (Yes),Google 地圖「簡介」頁面明確標記「兒童高腳椅」,Pizza Rock 古亭店,106台灣臺北市大安區古莊里羅斯福路三段25號,unknown,yes,unknown,unknown,高
ChIJ_WJhTf6tQjQRzjrZmrFJ-dM,享鮮餐廳南港分店,115台灣臺北市南港區經貿二路188號2樓,https://www.google.com/maps/search/?api=1&query=%E4%BA%AB%E9%AE%AE%E9%A4%90%E5%BB%B3%E5%8D%97%E6%B8%AF%E5%88%86%E5%BA%97&query_place_id=ChIJ_WJhTf6tQjQRzjrZmrFJ-dM,提供 (Yes),Google 地圖「簡介」頁面明確標記「兒童高腳椅」,享鮮餐廳南港分店,115台灣臺北市南港區經貿二路188號2樓,unknown,yes,unknown,unknown,中
ChIJ_Y4vZzKrQjQRcqCqvdGszQQ,輪輪1976 和食茶酒?,110405台灣臺北市信義區松壽路11號3樓,https://www.google.com/maps/search/?api=1&query=%E8%BC%AA%E8%BC%AA1976%20%E5%92%8C%E9%A3%9F%E8%8C%B6%E9%85%92%E9%A7%85&query_place_id=ChIJ_Y4vZzKrQjQRcqCqvdGszQQ,提供 (Yes),Google 地圖「簡介」頁面明確標記「兒童高腳椅」,輪輪1976 和食茶酒?,110405台灣臺北市信義區松壽路11號3樓,unknown,yes,unknown,unknown,中
ChIJ_Y6YDzIAaDQRRdbdkfSUIPI,貓空茶言觀舍,116台灣臺北市文山區指南里指南路三段38巷20號,https://www.google.com/maps/search/?api=1&query=%E8%B2%93%E7%A9%BA%E8%8C%B6%E8%A8%80%E8%A7%80%E8%88%8D&query_place_id=ChIJ_Y6YDzIAaDQRRdbdkfSUIPI,提供 (Yes),Google 地圖「簡介」頁面明確標記「兒童高腳椅」,貓空茶言觀舍,116台灣臺北市文山區指南里指南路三段38巷20號,unknown,yes,unknown,no,高
ChIJ_arDipWpQjQR2q2yV467ABY,overthink 餐飲小吃部,100台灣臺北市中正區螢圃里廈門街34巷2號1樓,https://www.google.com/maps/search/?api=1&query=overthink%20%E9%A4%90%E9%A3%B2%E5%B0%8F%E5%90%83%E9%83%A8&query_place_id=ChIJ_arDipWpQjQR2q2yV467ABY,提供 (Yes),Google 地圖「簡介」頁面明確標記「兒童高腳椅」,overthink 餐飲小吃部,100台灣臺北市中正區螢圃里廈門街34巷2號1樓,unknown,yes,unknown,unknown,高
ChIJ_arISaqtQjQR_wwFFgzwBZ0,GumGum Not Only Beer & Wings 雞翅啤酒吧-內科店,11492台灣臺北市內湖區基湖路3巷68號,https://www.google.com/maps/search/?api=1&query=GumGum%20Not%20Only%20Beer%20%26%20Wings%20%E9%9B%9E%E7%BF%85%E5%95%A4%E9%85%92%E5%90%A7-%E5%85%A7%E7%A7%91%E5%BA%97&query_place_id=ChIJ_arISaqtQjQR_wwFFgzwBZ0,提供 (Yes),Google 地圖「簡介」頁面明確標記「兒童高腳椅」,GumGum Not Only Beer & Wings 雞翅啤酒吧-內科店,11492台灣臺北市內湖區基湖路3巷68號,unknown,yes,unknown,unknown,資訊不足
